id,Titel,Body,Kategorie,Datum,Quelle
1,"Italy budget concession hopes switch risk sentiment back on, boost euro","The euro bounced off six-week lows on Wednesday, European shares rose and Italian bonds rallied as some of the worries that have rippled across markets this week were soothed by signs Rome was amenable to cutting budget deficits and debt in coming years. FILE PHOTO: A man looks at an electronic board displaying stock index outside a bank in downtown Milan June 13, 2013. REUTERS/Alessandro Garofalo A report in the Corriere della Serra newspaper — later confirmed to Reuters by a government source — said the deficit would fall to 2.2 percent of gross domestic product in 2020 and to 2 percent in 2021 from the 2.4 percent earlier outlined.   That brought relief to markets which had fretted that Italy’s decision to expand budget deficits well beyond what was agreed by a previous government would deepen its debt problems while stoking conflict with the European Union, whose officials have already expressed concerns. The euro, which had hit a six-week trough of $1.1506 after suffering five straight days of losses, firmed 0.3 percent while Italian borrowing costs eased off 4-1/2-year highs, after jumping 50 basis points since budget details emerged last Thursday.  Two-year yields fell 15 bps. (GRAPHIC: Italy's 2-year bond yield: absolute change - reut.rs/2QqI0NN)  “It’s all about Italy today. The news about a possible reduction in budget deficits has been positively taken by all markets, and the euro is back up too — that’s the main risk parameter for euro crisis concerns,” said Bernd Berg, global macro and FX strategist at Woodman Asset Management in Zurich. A pan-European equity index opened a quarter percent higher, while the Milan bourse jumped more than one percent. The moves were led by an initial 3.1 percent bounce in Italian banks. The banks’ huge government debt holdings make them particularly vulnerable to bond selloffs and has pressured Italian stock markets for months. (GRAPHIC: Italian stocks lag Europe - reut.rs/2QpHsbe)  The moves pushed down the premium investors demand for holding Italian risk relative to that of safer Germany to around 290 bps, down from a five-year high over 300 bps on Tuesday and sapped some demand for safe-haven assets such as German bonds, the dollar and Swiss franc. The euro jumped half a percent to the franc and 0.4 percent to the yen. Analysts noted however that other southern European markets, Spain and Portugal, which were caught up in Greece’s 2010-2011 crisis, had been resilient to spillover from Italy this year.  “Contagion has been far more subdued than in the past and that’s an important signal. I expect policymakers to latch on to that as proof (Italy’s crisis) is self-imposed and not a reflection of what’s happening as a whole in the weaker (euro zone) countries,” said Salman Ahmed, chief investment strategist at Lombard Odier in London. He added that Italy’s high yields — two-year bonds there pay 1.3 percent versus zero in Portugal — were also enticing some investors.  Wall Street too appeared set for a firmer open, with futures for the S&P 500 the Dow up around 0.2 percent. Broader world market sentiment remains jittery though, partly because of the bellicose rhetoric still emerging from the coalition government in Rome, but also due to fears that a Sino-U.S. tariff row would escalate once China reopens after a week-long holiday. While U.S. President Donald Trump agreed a new trade pact with Mexico and Canada, a controversial clause in the trilateral agreement, forbidding similar deals with “non-market” countries, was seen as raising risks for Sino-U.S. talks.   Volatility in U.S. tech shares is also making investors wary, with Facebook down almost 6 percent in the past three sessions after disclosing its worst security breach ever.  World shares were flat near two-week lows while MSCI’s index of Asia-Pacific shares outside Japan slipped 0.2 percent and Japan’s Nikkei closed 0.7 percent lower.  China’s financial markets are closed and will resume trade on Oct. 8. That’s the day Trump and Chinese President Xi Jinping are due to attend G-20 meetings, meaning news could emerge on the trade front. The dollar index, measuring the greenback against a basket of major currencies, pulled back from six-week highs of 95.744.   Emerging currencies derived some relief from the weaker dollar but the Indian rupee hit a new record low and the Indonesian rupiah touched a more than 20-year low, as oil prices near four-year highs weighed on importing nations’ finances. Indonesian authorities stepped in to support the currency and India is expected to raise interest rates this Friday. Turkey’s lira also weakened one percent to the dollar as the country, another oil importer, posted data showing inflation at more than 25 percent. That increases pressure on the central bank to raise rates again after a whopping 625 bps move in August. Woodman Asset Management’s Berg said however the worst looked to be over for Turkey, adding: “the currency has appreciated and the central bank has hiked rates aggressively so...toward the end of the year, inflation numbers should stabilize and to me, the worst of the currency crisis is over.” Brent crude inched up to $84.89 per barrel, close to four-year highs of $85.45 touched earlier this week.  FILE PHOTO: A two Euro coin is pictured next to an English ten Pound note in an illustration taken March 16, 2016.  REUTERS/Phil Noble/Illustration",Top-Nachrichten,2018-10-03 00:00:00,Reuters
2,"Indonesia's Widodo says aid gearing up, worry grows about cut-off areas","Indonesia’s President Joko Widodo made a second visit to Sulawesi island on Wednesday to ramp up relief efforts following a devastating earthquake and tsunami, as survivors pleaded for water, food and fuel five days after the disaster struck. The official death toll from the 7.5 magnitude quake that hit the west coast of Sulawesi last Friday rose to 1,407, many killed by tsunami waves it triggered. But officials fear the toll could soar, as most of the confirmed dead have come from Palu, a small city 1,500 km (930 miles) northeast of Jakarta, and losses in remote areas remain unknown, as communications are down, and bridges and roads have been destroyed or blocked by landslides. Underlining a growing sense of urgency, Widodo made his second visit to the disaster zone, putting on an orange hard hat to talk to rescue workers at a collapsed hotel in Palu. “What I’ve observed after returning now is heavy equipment has arrived, logistics have started to arrive although it’s not at maximum yet, fuel has partly arrived,” Widodo told reporters. National disaster mitigation agency spokesman Sutopo Purwo Nugroho said most of the aid effort had been concentrated in Palu, where electricity supply has still to be restored. Verwandte ThemenIndonesian disaster raises risks for President Widodo as he eyes re-electionBut rescue workers have begun to reach more remote areas in a disaster zone that encompasses 1.4 million people. Aid worker Lian Gogali described a perilous situation in Donggala, a district of 300,000 people, which includes towns strung along a coast road north of Palu close to the quake’s epicenter.      “Everyone is desperate for food and water. There’s no food, water, or gasoline. The government is missing,” Gogali said, adding that her aid group had only been able to send in a trickle of rations by motorbike.   GRAPHIC: Catastrophe in Sulawesi - tmsnrt.rs/2OqQlUo AID LANDS IN PALU Yahdi Basma, a leader from a village south of Palu hoping to get his family on a cargo plane out, said Widodo had no idea of the extent of the suffering. “The president is not hearing about the remote areas, only about the tsunami and about Palu,” he said. “There are hundreds of people still buried under the mud in my village. I lost many members of my family and neighbors. There is no aid whatsoever which is why we’re leaving.” A mother and her son, both injured by the earthquake and tsunami, wait to be airlifted out by a military plane at Mutiara Sis Al Jufri Airport in Palu, Central Sulawesi, Indonesia, October 3, 2018. REUTERS/Athit PerawongmethaWidodo, who will seek re-election next year, called on Tuesday for reinforcements in the search for victims, saying everyone had to be found. He repeated that on Wednesday, after inspecting what he called an “evacuation” effort at the Hotel Roa Roa, where he said some 30 people lay buried in the ruins. At least seven cargo planes arrived at Palu airport earlier on Wednesday carrying tonnes of aid, some bedecked in the red and white national colors and stamped with the presidential office seal declaring: “Assistance from the President of Republic of Indonesia”. The quake brought down hotels, shopping malls and thousands of houses in Palu, while tsunami waves as high as six meters (20 feet) scoured its beachfront shortly afterwards. About 1,700 houses in one neighborhood were swallowed up by ground liquefaction, which happens when soil shaken by an earthquake behaves like a liquid, and hundreds of people are believed to have perished, the disaster agency said. Adding to Sulawesi’s woes, the Soputan volcano in the north of the island, about 600 km (375 miles) northeast of Palu, erupted early on Wednesday but there were no reports of any casualties or damage. Ash was not expected to disrupt flights.  Nugroho said aircraft, tents, water treatment facilities and generators were the main needs for survivors including more than 70,000 displaced people. Police have done little to stop outbreaks of looting. The government has played down the problem, saying victims could take essentials and shops would be compensated. The government has said it would accept offers of international aid, after shunning outside help this year when two major earthquakes struck Lombok island, south of Sulawesi. Slideshow (19 Images)Sitting on the seismically active Pacific Ring of Fire, Indonesia is one of the world’s most vulnerable countries to quakes and tsunamis. A quake in 2004 triggered a tsunami across the Indian Ocean that killed 226,000 people in 13 countries, including more than 120,000 in Indonesia.    U.S. President Donald Trump extended condolences in a phone call with Widodo, State Department spokeswoman Heather Nauert told reporters in Washington. The United States has provided initial funding, deployed government disaster experts and was working to determine what other help can be given, she said. ",Weltnachrichten,2018-10-02 00:00:00,Reuters
3,World Court orders U.S. to ensure Iran sanctions don't hit humanitarian aid,"The World Court, the highest United Nations tribunal, on Wednesday ordered the United States to ensure that sanctions against Iran do not impact humanitarian aid or civil aviation safety. Iran's President Hassan Rouhani speaks at a news conference on the sidelines of the 73rd session of the United Nations General Assembly at U.N. headquarters in New York, U.S., September 26, 2018. REUTERS/Brendan McdermidJudges at the International Court Of Justice handed a victory to Tehran, which had argued that the U.S. sanctions imposed since May by the administration of U.S. President Donald Trump violate the terms their 1955 Treaty of Amity. ",Weltnachrichten,2018-10-03 00:00:00,Reuters
4,Instagram back up after worldwide outage,"Facebook Inc’s (FB.O) photo-sharing social network Instagram is back up for some users on Wednesday, after suffering a worldwide outage days after it installed a new head of the app. Silhouettes of mobile users are seen next to a screen projection of Instagram logo in this picture illustration taken March 28, 2018.  REUTERS/Dado Ruvic/Illustration  According to a check by Reuters, the mobile app and the website, which were temporarily down, are back up and users could post pictures and videos on to their feed.  Earlier, the app displayed an error message saying “couldn’t refresh feed”, while its website did not load for users. Users bombarded Twitter to complain about the outage, tweeting jokes and comments along with the #instagramdown hashtag. “How am I supposed to know who likes avocado on toast now #instagramdown”, Connell@connell_mchugh tweeted. DownDetector's live outage map earlier showed that parts of North America, Europe, Australia, India, Singapore and other countries were facing issues with the service. bit.ly/2ydg8We Facebook and Instagram were not immediately available to comment. The global outage comes after Instagram announced on Monday that long-term insider Adam Mosseri will take over as the new head of the photo-sharing app, a week after its co-founders resigned. The app has more than one billion active monthly users and has grown by adding features such as messaging and short videos. ",Top-Nachrichten,2018-10-03 00:00:00,Reuters
5,Aston Martin skids on market debut,"Shares in luxury automaker Aston Martin (AML.L) fell as much as 6.5 percent in its market debut in London on Wednesday after investors and analysts raised concerns that it may find it hard to deliver on an ambitious roll-out of new models.   The company, which last year made its first profit since 2010 and has gone bankrupt seven times, had priced its shares at 19 pounds each, giving it a market capitalization of 4.33 billion pounds  ($5.63 billion).  The shares fell to as low as 17.75 pounds and were down 3.16 percent at 0759 GMT. Aston Martin had initially set a range of 17.50 pounds to 22.50 pounds per share, but on Monday narrowed this to 18.50 to 20 pounds saying it had sufficient bid interest to cover all the shares being sold. Verwandte ThemenAston Martin shares open flat at 19 pounds per share in London debutInvestors and analysts were concerned, however, about the execution risk related to its plans for rolling out new models: Aston Martin plans to launch a new core model every year from to 2022. “Aston Martin has very aggressive growth plans. The execution of that growth needs to be flawless - nothing eats cash more than a car company when the cycle turns. There is concern that it’s more cyclical than the commentary has been,” said James Congdon, managing director of cashflow returns specialist Quest. “The banks have done a good job for their client - but there’s no bounce.”  VALUATION In 2017, Aston Martin had adjusted earnings before tax interest, depreciation and amortization of 206.5 million pounds, up from 100.9 million pounds in 2016. Slideshow (2 Images)Aston Martin’s closest comparable is Ferrari (RACE.MI) which listed in 2015 and trades with an enterprise value of 22.2 times EBITDA, according to Refinitiv data.  Based on this metric and Aston Martin’s net debt of 538.8 million pounds, the British carmaker looked slightly expensive in its debut - pricing at 23.6 times EBITDA.        Depending on its price performance, Aston Martin might just make it into the FTSE 100 .FTSE - the first carmaker in Britain's blue-chip index since Jaguar.  Its shareholders, which include Italian investment firm Investindustrial and a group of Kuwait-based investors, sold a quarter of its existing stock and is not raising any new money - meaning no funds will be plowed into the firm as a direct result of the listing.  Aston Martin’s poor debut is the latest blow to Europe’s cautious IPO market.  British crowd-lending platform Funding Circle (FCH.L) is down more than 20 percent since it floated last week - denting the London Stock Exchange’s hope of becoming an attractive listing destination for technology companies worth more than $1 billion.     ",Top-Nachrichten,2018-10-03 00:00:00,Reuters
6,"North, South Korea begin removing landmines along fortified border","Troops from North and South Korea began removing some landmines along their heavily fortified border on Monday, the South’s defense ministry said, in a pact to reduce tension and build trust on the divided peninsula. Project details were agreed during last month’s summit in Pyongyang, the capital of North Korea, between its leader, Kim Jong Un, and South Korean President Moon Jae-in. In a statement, the ministry said the two sides agreed to remove all landmines in the so-called Joint Security Area (JSA) in Panmunjom within the next 20 days, with military engineers performing the hazardous task on the South Korean side. There was no immediate confirmation from North Korea that its troops had begun the process. The deal also provides for removal of guard posts and weapons from the JSA to follow the removal of the mines, with the troops remaining there to be left unarmed. The JSA is the only spot along the 250-km (155-mile) -long “demilitarized zone” (DMZ) where troops from both Koreas are face to face. South Korean troops have gradually taken over most operations along their side of the border but international forces under the U.S.-led United Nations Command retain major roles, especially at the JSA, where an American commander and a South Korean deputy lead the security battalion. UNC spokesman Colonel Chad Carroll declined to confirm if the command would also withdraw any weapons from the JSA, but said American forces would provide support for the demining operation. “United States Forces Korea will perform a support role - to include having air medical evacuation assets available to respond within minutes of any potential medical emergencies,” he told Reuters in a statement. Since fighting during the 1950-1953 Korean War ended in a stalemate, at least nine soldiers have been killed in incidents with North Korean troops, including the killing in 1976 of two U.S. soldiers by axe-wielding North Koreans, the UNC says. In November 2017, North Korean troops at the JSA shot one of their soldiers defecting to the South five times.  More recently, it was the scene of the first dramatic April summit between Kim and Moon, as well as their second, more low-key meeting, in May. In April, the neighbors announced their intention to turn the DMZ - long a symbol of tension and division - into a “peace zone”. They have already dismantled propaganda loudspeakers and some guard posts along the border. Demining projects are also set to begin on Monday in Gangwon province in South Korea’s east, to allow teams to search for the remains of soldiers killed in the war, the ministry added.  More than a million landmines were laid in border areas including the DMZ and the Civilian Control Zone in the South, say demining experts, and civilians and soldiers alike have been killed or injured by them.  In 2015, two South Korean soldiers were maimed by what Seoul said was a North Korean landmine, an accusation the North denied. South Korean soldiers stand guard at the truce village of Panmunjom inside the demilitarized zone separating the two Koreas, South Korea, April 11, 2018. REUTERS/Kim Hong-Ji",Weltnachrichten,2018-10-01 00:00:00,Reuters
7,"Woman sues Facebook, claims site enabled sex trafficking","A Texas woman, claiming that she was raped, beaten and sex trafficked at the age of 15 by a pimp who posed as a Facebook “friend,” has filed suit against the social network, alleging its executives knew minors were being lured into the sex trade on their platform. The Facebook logo is displayed on their website in an illustration photo taken in Bordeaux, France, February 1, 2017. REUTERS/Regis Duvignau  The woman, identified only as Jane Doe in court papers filed in Harris County District Court in Houston on Monday, also named as defendants the now-shuttered classified ads website Backpage.com and its founders. Facebook did not respond to a request by Reuters for comment. Attorneys for Backpage.com and the former employees named in the lawsuit as defendants also did not return calls for comment. According to the lawsuit, the woman was “friended” on Facebook in 2012 by a user who appeared to know several of her real-life friends. The man messaged her through Facebook, according to the lawsuit, which was seen by Reuters.  The lawsuit alleges that at one point following an argument with her mother, the trafficker offered to console her, but after picking her up from her home he beat and raped her and took pictures that were posted on Backpage.com. The lawsuit says Facebook did not do enough to verify the user’s identity, which the lawsuit said was false, and that Jane Doe was never warned that sex traffickers were operating on the social media network. The plaintiff’s attorneys, David Harris and Louie Cook of the law firm Sico Hoelscher Harris LLP in Houston, did not reply to requests for comment.Backpage.com was shut down by authorities earlier this year after a Justice Department investigation into allegations that the website was used primarily to sell sex. ",Inlandsnachrichten,2018-10-03 00:00:00,Reuters
8,Impatient patients turn to online 'buyers club' for new drugs,"Frustrated by delays in new medicines reaching their own country, a small but growing number of patients are turning to an online broker that bills itself as a legal version of the Dallas Buyers Club. FILE PHOTO: Pharmaceutical tablets and capsules are arranged on a table in this picture illustration taken in Ljubljana August 20, 2014.   REUTERS/Srdjan Zivulovic/File PhotoWhile regulators warn of the risk of buying drugs online, the Amsterdam-based Social Medwork sees its network of trusted suppliers as filling a gap in the market for the latest drugs against diseases such as cancer, migraine and multiple sclerosis. Now it is looking to raise its profile and expand, by signing up former EU Commissioner Neelie Kroes to its supervisory board and securing 1.5 million euros ($1.73 million) in new funding from the Social Impact Ventures capital fund. Like Ron Woodroof, the 1980s AIDS patient in the movie ‘Dallas Buyers Club’, patients who cannot get the drugs they want through local healthcare systems are using the organization to self-import medicines from abroad. But while Woodroof had to smuggle drugs across the Mexican border, the Social Medwork’s customers can place orders online legally, as long as they have a prescription and a doctor’s letter stating that the drug is strictly for personal use. In the past 18 months, the group, which is registered with the Dutch Ministry of Health as a medicines intermediary, has supplied more than 3,000 patients. They include British migraine sufferer Senty Bera, 43, who recently used the system to buy Aimovig, a new monthly migraine injection from Amgen and Novartis, the first in an improved class of drugs that target a chemical involved in triggering attacks. “My quality of life was so poor I thought it was worth trying and it is working brilliantly,” Bera said. FILE PHOTO: Pharmaceutical tablets and capsules in foil strips are arranged on a table in this picture illustration taken in Ljubljana August 20, 2014. REUTERS/Srdjan Zivulovic/File PhotoAs yet, Aimovig is not approved for use within Britain’s state health service - though Bera hopes it will be soon - but its reputation means it is one of Social Medwork’s top-sellers, despite a price tag of 698 euros for two autoinjectors. A spokeswoman for Britain’s Medicines and Healthcare products Regulatory Agency confirmed there were no formal restrictions on importing such medicines for personal use. In the past, informal drug-buying networks here have helped supply cheap generic versions of treatments for HIV and hepatitis C. But the Dutch group, which charges a fee of around 6 percent, claims to be the only organization focused on newly approved branded drugs. With customers in 70 countries, its line-up includes new cancer drugs that are U.S.-approved but not yet available elsewhere, as well as medicines for chronic disorders, such as Roche’s new multiple sclerosis treatment Ocrevus. Founder Sjaak Vink says the Internet means patients are increasingly aware they may be waiting months or even years for novel drugs following a first approval elsewhere. “We really need to bridge this gap because this situation is ridiculous,” he said in an interview. Vink said he was inspired to found the organization by delays in European availability of Merck & Co’s  innovative cancer immunotherapy Keytruda. Today, his group has customers in Australia, the Middle East and Asia, as well as major European markets such as France, Italy, Germany and Britain, where drug delays could worsen if Brexit disrupts supply lines. Given relatively speedy U.S. approvals, there are currently fewer customers in America, although there was a spike in U.S. demand last year for Mitsubishi Tanabe Pharma’s amyotrophic lateral sclerosis drug Radicut/Radicava, which was approved first in Japan. FILE PHOTO: Pharmaceutical tablets and capsules are arranged on a table in a photo illustration shot September 18, 2013.  REUTERS/Srdjan Zivulovic/File Photo ($1 = 0.8651 euros) ",Top-Nachrichten,2018-10-03 00:00:00,Reuters
9,Indonesian disaster raises risks for President Widodo as he eyes re-election,"Indonesia’s earthquake and tsunami could raise political risks for President Joko Widodo as he prepares a bid for re-election next year, with opponents keen to find fault in his handling of the disaster in a region with a history sectarian strife. A portrait of Indonesia's President Joko Widodo is seen on a collapsed structure after an earthquake and tsunami hit in Palu, Central Sulawesi. Antara Foto/Muhammad Adimaja/ via REUTERSThe official death toll from the Friday’s 7.5 quake and tsunami that struck the west coast of Sulawesi island has surged to 1,407 but there are fears it will rise when the full scale of destruction is determined and the missing are accounted for. Widodo, a former furniture businessman and the first president to come from outside the political or military establishment, will seek another five-year term in the April 17 election. A quietly spoken reformer, he has enjoyed strong popularity but faces hostility from conservative nationalist and Islamist forces in the predominantly Muslim country of 260 million people. Widodo was quick to visit the badly hit city of Palu, 1,500 km (930 miles) northeast of Jakarta less than two days after the quake, urging residents to be patient.  He made another visit on Wednesday, underlining the urgency of the rescue effort, as frustration about a lack of food, fuel and equipment mounted. “Any failure to handle it properly is not going to go down well,” Keith Loveard a senior analyst with advisory and risk firm Concord Consulting, told Reuters, speaking before Widodo made his second visit. “It’s still got to be managed and the next few days will be critical.” The government has left itself open to criticism for failing to maintain a tsunami warning system set up after a 2004 quake and tsunami killed 226,000 people in 13 countries around the Indian Ocean, including more than 120,000 in Indonesia. The system has been out of action since 2012. Widodo, who came to power in 2014, said on Tuesday it had to be repaired and properly maintained. With growing desperation and outbreaks of looting among survivors and questions over the aid effort, opposition politicians have been sharpening their knives. An announcement by the interior minister, Tjahjo Kumolo, that survivors could take essentials from shops and the government would later compensate them, has been criticized as giving a green light to lawlessness. “In a complex emergency, what is needed is leadership and law and order. At this stage, the government is very weak,” Fadli Zon, deputy speaker of parliament from the opposition nationalist Gerindra party, said on Twitter. Widodo’s main challenger next year, Prabowo Subianto, is head of the Gerindra party.  ‘TARGET’ Widodo narrowly defeated Subianto in the last election in 2014 and Subianto will be looking for any opportunity to damage Widodo now. “If Widodo pulls off a really good emergency relief effort he won’t give Prabowo a target to strike,” said Achmad Sukarsono of the Control Risks consultancy. “At the moment, we haven’t seen that so it’s fair game for a challenger to attack.” Widodo also has to tip-toe around sensitivities over the issue of foreign aid in a country with a proud history of resistance to colonial rule, where governments have been loath to go cap in hand to outsiders. Widodo risks angering either nationalists, by being seen as too ready to take outside help, or many ordinary members of the public, by hesitating to accept aid that could save lives. The government shunned outside help this year when earthquakes struck the island of Lombok. But it said on Monday it would accept foreign aid for Sulawesi. Given the urgency in Sulawesi, even government critics begrudgingly agree outside help is needed, although one, Sodik Mudjahid, another senior member of Gerindra, added a word of warning: “We should not commit to anything that will hurt our sovereignty,” Mudjahid told Reuters. Complicating the job for the government is a long history of bloodshed in Sulawesi between Muslims, who are a majority in Indonesia, and Christians. An estimated 2,000 people were killed in three years of clashes in the region before a peace accord took effect in 2001. Palu was hit by bombings in 2005, believed to have been part of a campaign to re-ignite tension. In the longer term, anger among people who feel deprived of aid could be manipulated. “You’ve got a very polarized community,” Loveard said.  ",Weltnachrichten,2018-10-03 00:00:00,Reuters
10,Aston Martin shares open flat at 19 pounds per share in London debut,"Shares in luxury carmaker Aston Martin (AML.L) opened flat at the offer price of 19 pounds ($24.70) per share in its London debut on Wednesday.  FILE PHOTO: An Aston Martin logo is pictured during the 88th Geneva International Motor Show in Geneva, Switzerland, March 6, 2018. REUTERS/Denis Balibouse/File PhotoBy 0707 GMT the stock inched up to 19.14 pounds per share.  Bankers typically target a slight bump in the stock on the first day of trading of an initial public offering to help build momentum. ",Top-Nachrichten,2018-10-03 00:00:00,Reuters
